24K Magic
99 Luftballons
A Pirate You Shall Be
Acceptable in the 80s
Accidentally in Love
Ain’t My Fault
Airplanes
All About That Bass
All About Us
Alphabet Song
Am I Wrong
Amazing Girl
American Girl
Animals
Another One Bites the Dust
Apache (Jump On It)
Applause
Aquarius/Let the Sunshine In
Aserejé (The Ketchup Song)
Automaton
Baby Girl
Baby One More Time
Bad Liar
Bad Romance
Bailar
Balkan Blast Remix
Bang
Bang Bang
Barbie Girl
BBoom BBoom
Beauty And A Beat
Beep Beep I’m A Sheep
Better When I’m Dancin’
Beware of the Boys (Mundian To Bach Ke)
Big Girl (You Are Beautiful)
Birthday
Blame
Blow Your Mind (Mwah)
Blue (Da Ba Dee)
Blurred Lines
Bonbon
Boogie Wonderland
Boom
Boom Boom
Boom Clap
Born This Way
Boys (Summertime Love)
Break Free
Bubble Pop!
Built For This
Cake By The Ocean
California Gurls
Can’t Get Enough
Can’t Take My Eyes Off You
Carmen (Overture)
Carnaval Boom
Cercavo Amore
Chantaje
Cheap Thrills
Cheerleader (Felix Jaehn Remix)
Chiwawa
Circus
Cola Song
Cool For The Summer
Copacabana
Cosmic Girl
Cotton Eye Joe
Crazy Christmas
Crazy Little Thing Called Love
Criminal
Crucified
Crying Blood
C’mon
Daddy Cool
Dagomba
Dame Tu Cosita
Dancing Queen
Dancing Queen (ABBA: You Can Dance)
Danse (Pop Version)
Day-O (The Banana Boat Song)
Despacito
Dharma
Die Young
Diggin’ in the Dirt
Diggy
Domino
Done For Me
Don’t Let Me Down
Don’t Stop Me Now
Don’t Wanna Know
Don’t Worry
Don’t Worry Be Happy
Don’t You Worry Child
Down By The Riverside
Dragostea Din Tei
Drop the Mambo
Dynamite
E.T.
El Tiki
Error
Eye of the Tiger
Fame
Fancy
Fearless Pirate
Feel It Still
Feel So Right
Fernando
Fight Club
Fine China
Firework
Five Little Monkeys
Flashdance... What A Feeling
Fraggle Rock
Fun
Funky Robot
Funkytown
Futebol Crazy
Gangnam Style
Gentleman
Get Ugly
Ghost In The Keys
Ghostbusters
Gibberish
Gimme! Gimme! Gimme! (A Man After Midnight)
Gimme! Gimme! Gimme! (A Man After Midnight) (ABBA: You Can Dance)
Girlfriend
Girls Just Want to Have Fun
Good Feeling
Got That
Groove
Hala Bel Khamis
HandClap
Hangover (BaBaBa)
Happy
Happy Farm
Heart of Glass
Heartbeat Song
Heavy Cross
Hey Mama
Hey Ya!
Hickory Dickory Dock
Hips Don’t Lie
Hit The Lights
Hit The Road Jack
Hit ’Em Up Style (Oops!)
Hold My Hand
Holding Out for a Hero
Holiday
Honey, Honey
Hot N Cold
Hot Stuff
How Deep Is Your Love
How Far I’ll Go
Hungarian Dance No. 5
I Feel Love
I Get Around
I Gotta Feeling
I Kissed a Girl
I Like It (The Blackout Allstars song)
I Love Rock ‘N’ Roll
I Need Your Love
I Want You Back
I Was Made For Lovin’ You
I Will Survive
Idealistic
If You’re Happy and You Know It
Imya 505
In the Hall of the Pixel King
India Waale
Instruction
Into You
Irish Meadow Dance
Isidora
Istanbul (Not Constantinople)
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini
It’s Raining Men
It’s You
I’m An Albatraoz
I’ve Been Working on The Railroad
Jai Ho! (You Are My Destiny)
Jailhouse Rock
Jambo Mambo
Je sais pas danser
John Wayne
Juju On That Beat
Jump (For My Love)
Jump (Major Lazer song)
Junto a Ti
Just Mario
J’suis pas jalouse
Kaboom Pow
Katti Kalandal
Keep on Moving
Kissing Strangers
Knowing Me, Knowing You
Kung Fu Fighting
Kurio ko uddah le jana
La Bicicleta
Land Of 1000 Dances
Last Christmas
Lay All Your Love On Me
Le Freak
Lean On
Leila
Let It Go
Let Me Love You
Let’s Groove
Lights
Like I Would
Little Swing
Lollipop
Love Boat
Love Is All
Love Ward
Love You Like A Love Song
Lush Life
Macarena
Magic Halloween
Make It Jingle
Mamasita
Mambo No. 5 (A Little Bit of Monika)
Mamma Mia
Maneater
Maps
Mary Had a Little Lamb
Mashed Potato Time
Me And My Broken Heart
Me Too
Medicina
Mi Gente
Miss Understood
Money, Money, Money
Monster Mash
Moskau
Move Your Feet
Movement is Happiness (Find Your Thing)
Moves Like Jagger
Mr. Saxobeat
Mugsy Baloney
My Main Girl
Naughty Girl
Never Can Say Goodbye
New Face
Nine in the Afternoon
Nitro Bot
No Control
No Lie
No Limit
Oath
Oh No!
Oishii Oishii
On Ne Porte Pas De Sous-Vêtements
Ona tańczy dla mnie
One Way Or Another (Teenage Kicks)
Oops!...I Did It Again
Part of Me
Party Rock Anthem
Peanut Butter Jelly
Pixie Land
PoPiPo
Pound The Alarm
Primadonna
Prince Ali
Professor Pumplestickle
Promiscuous
Qia La Yong Yuan OK - Future Underworld Mix
Rabiosa
Radical
Rasputin
Risky Business
Roar
Rock N Roll
Rock n’ Roll (Will Take You to the Mountain)
Rockabye
Rockafeller Skank
Run the Night
Safe And Sound
Sax
Sayonara
Scream & Shout
September
Sexy And I Know It
Shape of You
She’s Got Me Dancing
Shut Up and Dance
Side to Side
Single Ladies (Put a Ring on It)
Slumber Party
Smile (Улыбайся)
So Glamorous
Somethin’ Stupid
Sorry
SOS (ABBA song)
Soul Searchin’
Spectronizer
Stadium Flow
Starships
Step by Step
Stuck On A Feeling
Sugar Dance
Summer
Sun
Super Bass
Super Trouper
Superstition
Sway (Quién Será)
Swish Swish
Take a Chance on Me
Take Me Out
Take On Me
Taste The Feeling
Te Dominar
Teacher
Teenage Dream
Tetris
ThatPOWER
That’s Not My Name
That’s the Way (I Like It)
The Choice Is Yours
The Final Countdown
The Greatest
The Lion Sleeps Tonight
The Master Blaster
The Other Side
The Way
The Way I Are (Dance With Somebody)
The Winner Takes It All
The World is Ours
There Is Nothing Better In The World
These Boots Are Made For Walking
This is Halloween
This Is How We Do
Thumbs
Tico-Tico No Fubá
TiK ToK
Till I Find You
Time Warp
Titanium
Tribal Dance
